,parameter,definition,units,lrl,mdl,method,bottle,category
59,pb_d,"Lead (Pb), Filtered",ug/l,0.1,0.05,200.8,filtered metals,toxic
60,se_d,"Selenium (Se), Filtered",ug/l,1,0.5,200.8,filtered metals,toxic
61,zn_d,"Zinc (Zn), Filtered",ug/l,10,5,200.8,filtered metals,toxic
62,b_d,"Boron (B), Filtered",ug/l,30,15,200.8,filtered metals,toxic
63,ca_d,"Calcium (Ca), Filtered",mg/l,1,0.5,200.8,filtered metals,toxic
64,fe_d,"Iron (Fe), Filtered",ug/l,30,15,200.8,filtered metals,toxic
65,k_d,"Potassium (K), Filtered",mg/l,1,0.5,200.8,filtered metals,toxic
66,mg_d,"Magnesium (Mg), Filtered",mg/l,1,0.5,200.8,filtered metals,toxic
67,na_d,"Sodium (Na), Filtered",mg/l,1,0.5,200.8,filtered metals,toxic
68,alk_ph,Alkalinity-pH,pH,0.001,0.001,2320B,chemistry,NA
69,cha_vol,Volume of water filtered for chlorophyll-a,liters,NA,NA,for calculating chla as mg/l,chla,NA
70,ph_lab,"pH, in lab",pH,0.001,0.001,150.1,chemistry,NA
71,chla,chlorophyll-a,mg/l,0.1,0.05,10200H,chla,NA
72,co_d,"Cobalt (Co), Filtered",ug/l,30,15,200.8,filtered metals,toxic
73,do_conc,Dissolved Oxygen concentration,mg/L,0,0,multi-parameter probe in field,field,polind
74,do_sat,Dissolved Oxygen saturation,percent,0,0,multi-parameter probe in field,field,polind
75,ec_p,"Electrical Conductivity, pore water in field",uS/cm,100,100,conductivity of pore water,pore water,polind
76,ec25,"Electrical Conductivity, in field",uS/cm,5,5,multi-parameter probe in field,field,polind
77,fl,Fluoride,mg/l,0.01,0.01,300,chemistry,genchem
78,hard,"Hardness, Filtered",mg/l,1,0.5,"2340B, calculated from ca_d and mg_d (2.497(ca_d) + 4.118(mg_d))",filtered metals,NA
79,temp,Temperature,C,-5,-5,multi-parameter probe in field,field,polind
80,tkn,"Total Kjeldahl Nitrogen, Non-filtered",mg/l,0.082,0.03,351.4,total nutrients,nuts
81,ph,pH,pH,0.01,0.01,multi-parameter probe in field,field,polind
